   Time             I(L7)             i_out_M_BB1       udc_BB1           i_pred_BB1        iL_BB1            Uref_BB1          pwmBB1            i_ref_BB1       
  1.350000000E-03   1.998857881E+01   3.424316709E+00   1.712158731E+02   0.000000000E+00   1.866835408E+01   2.400000000E+02   1.000000000E+00   1.887110138E+01 
  1.360000000E-03   2.130792364E+01   3.420894942E+00   1.710447847E+02   0.000000000E+00   1.998857881E+01   2.400000000E+02   1.000000000E+00   1.888024902E+01 
  1.370000000E-03   2.262660891E+01   3.417476606E+00   1.708738673E+02   0.000000000E+00   2.130792365E+01   2.400000000E+02   0.000000000E+00   1.891560936E+01 
  1.380000000E-03   2.166001805E+01   3.414060814E+00   1.707030780E+02   0.000000000E+00   2.262660891E+01   2.400000000E+02   0.000000000E+00   1.897664261E+01 
  1.390000000E-03   2.068225703E+01   3.432535195E+00   1.716267975E+02   0.000000000E+00   2.166001804E+01   2.400000000E+02   0.000000000E+00   1.903997612E+01 
  1.400000000E-03   1.969653908E+01   3.450016848E+00   1.725008799E+02   0.000000000E+00   2.068225703E+01   2.400000000E+02   0.000000000E+00   1.908259964E+01 
  1.410000000E-03   1.870066347E+01   3.466747835E+00   1.733374298E+02   0.000000000E+00   1.969653907E+01   2.400000000E+02   1.000000000E+00   1.910473633E+01 
  1.420000000E-03   2.002086667E+01   3.482471811E+00   1.741236285E+02   0.000000000E+00   1.870066347E+01   2.400000000E+02   1.000000000E+00   1.910661316E+01 
  1.430000000E-03   2.134018998E+01   3.478991943E+00   1.739496346E+02   0.000000000E+00   2.002086667E+01   2.400000000E+02   0.000000000E+00   1.911169624E+01 
  1.440000000E-03   2.033419350E+01   3.475515541E+00   1.737758145E+02   0.000000000E+00   2.134018997E+01   2.400000000E+02   0.000000000E+00   1.914307213E+01 
  1.450000000E-03   1.931798899E+01   3.492613466E+00   1.746307111E+02   0.000000000E+00   2.033419349E+01   2.400000000E+02   0.000000000E+00   1.917695427E+01 
  1.460000000E-03   1.829456398E+01   3.508681367E+00   1.754341066E+02   0.000000000E+00   1.931798898E+01   2.400000000E+02   1.000000000E+00   1.918993759E+01 
  1.470000000E-03   1.961503783E+01   3.523971294E+00   1.761986032E+02   0.000000000E+00   1.829456397E+01   2.400000000E+02   1.000000000E+00   1.918226433E+01 
  1.480000000E-03   2.093463162E+01   3.520449951E+00   1.760225358E+02   0.000000000E+00   1.961503783E+01   2.400000000E+02   1.000000000E+00   1.917771530E+01 
  1.490000000E-03   2.225356572E+01   3.516932111E+00   1.758466444E+02   0.000000000E+00   2.093463162E+01   2.400000000E+02   0.000000000E+00   1.919965744E+01 
  1.500000000E-03   2.122127701E+01   3.513416928E+00   1.756708848E+02   0.000000000E+00   2.225356572E+01   2.400000000E+02   0.000000000E+00   1.924754715E+01 
  1.510000000E-03   2.017824170E+01   3.531370005E+00   1.765685387E+02   0.000000000E+00   2.122127700E+01   2.400000000E+02   0.000000000E+00   1.929734421E+01 
  1.520000000E-03   1.912759382E+01   3.548265525E+00   1.774133149E+02   0.000000000E+00   2.017824170E+01   2.400000000E+02   0.000000000E+00   1.932539177E+01 
  1.530000000E-03   1.806727570E+01   3.564362103E+00   1.782181442E+02   0.000000000E+00   1.912759382E+01   2.400000000E+02   1.000000000E+00   1.933194160E+01 
  1.540000000E-03   1.938790103E+01   3.579387645E+00   1.789694213E+02   0.000000000E+00   1.806727569E+01   2.400000000E+02   1.000000000E+00   1.931725121E+01 
  1.550000000E-03   2.070764620E+01   3.575810922E+00   1.787905852E+02   0.000000000E+00   1.938790103E+01   2.400000000E+02   1.000000000E+00   1.930545807E+01 
  1.560000000E-03   2.202673161E+01   3.572237773E+00   1.786119277E+02   0.000000000E+00   2.070764621E+01   2.400000000E+02   0.000000000E+00   1.932030487E+01 
  1.570000000E-03   2.095793195E+01   3.568667310E+00   1.784334042E+02   0.000000000E+00   2.202673161E+01   2.400000000E+02   0.000000000E+00   1.936124229E+01 
  1.580000000E-03   1.987863410E+01   3.586311124E+00   1.793155955E+02   0.000000000E+00   2.095793194E+01   2.400000000E+02   0.000000000E+00   1.940386391E+01 
  1.590000000E-03   1.879192477E+01   3.602861398E+00   1.801431095E+02   0.000000000E+00   1.987863409E+01   2.400000000E+02   1.000000000E+00   1.942415237E+01 
  1.600000000E-03   2.011206714E+01   3.618585936E+00   1.809293364E+02   0.000000000E+00   1.879192477E+01   2.400000000E+02   1.000000000E+00   1.942237473E+01 
  1.610000000E-03   2.143132967E+01   3.614970055E+00   1.807485418E+02   0.000000000E+00   2.011206715E+01   2.400000000E+02   0.000000000E+00   1.942296791E+01 
  1.620000000E-03   2.033480869E+01   3.611357769E+00   1.805679279E+02   0.000000000E+00   2.143132967E+01   2.400000000E+02   0.000000000E+00   1.944994164E+01 
  1.630000000E-03   1.922826008E+01   3.628343173E+00   1.814171981E+02   0.000000000E+00   2.033480869E+01   2.400000000E+02   0.000000000E+00   1.947860336E+01 
